;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR
CONTA;Custo de Bens e/ou Serviços Vendidos;Deduções da Receita Bruta;Despesas;Despesas Com Vendas;Despesas Financeiras;Despesas Gerais e Administrativas;Despesas Tributárias;Despesas da Intermediação Financeira;Despesas de Pessoal;Financeiras;IR Diferido;Lucro/Prejuízo do Período;Outras Despesas Administrativas;Outras Despesas Operacionais;Outras Despesas/Receitas Operacionais;Outras Receitas Operacionais;Part. de Acionistas Não Controladores;Participações/Contribuições Estatutárias;Perdas pela Não Recuperabilidade de Ativos ;Provisão para IR e Contribuição Social;Receita Bruta de Vendas e/ou Serviços;Receita Líquida de Vendas e/ou Serviços;Receitas;Receitas Financeiras;Receitas da Intermediação Financeira;Receitas de Prestação de Serviços;Resultado Antes Tributação/Participações;Resultado Bruto;Resultado Bruto Intermediação Financeira;Resultado Não Operacional;Resultado Operacional;Resultado da Equivalência Patrimonial;Reversão dos Juros sobre Capital Próprio
Unnamed: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;;;;;;;;575,226;;;;;;;;
67;;;;;;;;-373,082;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202,144;;;;
69;;;;;;;;;;;;;;;-37,519;;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;;;;;;76,333;;;;;;;
71;;;;;;;;;-48,377;;;;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;-25,731;;;;;;;;;;;;;;;;;;;;
73;;;;;;;-18,848;;;;;;;;;;;;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;;7,682;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;-31,945;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,367;
77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164,625;;
78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,694;;;
79;;;;;;;;;;;;;;;;;;;;;;;2,716;;;;;;;;;;
80;;;-10,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;;;;;;;;;;;156,931;;;;;;
82;;;;;;;;;;;;;;;;;;;;-29,966;;;;;;;;;;;;;
83;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;-30,11;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
86;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;96,855;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;;;;664,776;;;;;;;;
89;;;;;;;;-496,192;;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168,584;;;;
91;;;;;;;;;;;;;;;-29,257;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;69,537;;;;;;;
93;;;;;;;;;-49,224;;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;-28,938;;;;;;;;;;;;;;;;;;;;
95;;;;;;;-22,668;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;-9,011;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;7,426;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,621;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139,327;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,539;;;
101;;;;;;;;;;;;;;;;;;;;;;;-2,35;;;;;;;;;;
102;;;12,046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;;;;;;;136,788;;;;;;
104;;;;;;;;;;;;;;;;;;;;1,996;;;;;;;;;;;;;
105;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;-30,259;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
