;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR
CONTA;Custo de Bens e/ou Serviços Vendidos;Deduções da Receita Bruta;Despesas;Despesas Com Vendas;Despesas Financeiras;Despesas Gerais e Administrativas;Despesas Tributárias;Despesas da Intermediação Financeira;Despesas de Pessoal;Financeiras;IR Diferido;Lucro/Prejuízo do Período;Outras Despesas Administrativas;Outras Despesas Operacionais;Outras Despesas/Receitas Operacionais;Outras Receitas Operacionais;Part. de Acionistas Não Controladores;Participações/Contribuições Estatutárias;Perdas pela Não Recuperabilidade de Ativos ;Provisão para IR e Contribuição Social;Receita Bruta de Vendas e/ou Serviços;Receita Líquida de Vendas e/ou Serviços;Receitas;Receitas Financeiras;Receitas da Intermediação Financeira;Receitas de Prestação de Serviços;Resultado Antes Tributação/Participações;Resultado Bruto;Resultado Bruto Intermediação Financeira;Resultado Não Operacional;Resultado Operacional;Resultado da Equivalência Patrimonial;Reversão dos Juros sobre Capital Próprio
Unnamed: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;;;;;;;-10,97;;;;;;;;;;;;;;;;;;;;;;;;;;
316;;;;;;;;;;;;;;;;3,305;;;;;;;;;;;;;;;;;
317;;;;;;;;;;;;;;-16,494;;;;;;;;;;;;;;;;;;;
318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,677;
319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134,304;;
320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,95;;;
321;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;
322;;;-2,103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;;;;;;;;;;;;;;;;;;;;;;;;;;;132,354;;;;;;
324;;;;;;;;;;;;;;;;;;;;-28,782;;;;;;;;;;;;;
325;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
326;;;;;;;;;;;;;;;;;;-23,805;;;;;;;;;;;;;;;
327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
328;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
329;;;;;;;;;;;;79,767;;;;;;;;;;;;;;;;;;;;;
330;;;;;;;;;;;;;;;;;;;;;;;;;324,617;;;;;;;;
331;;;;;;;;-163,853;;;;;;;;;;;;;;;;;;;;;;;;;
332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160,764;;;;
333;;;;;;;;;;;;;;;-36,669;;;;;;;;;;;;;;;;;;
334;;;;;;;;;;;;;;;;;;;;;;;;;;40,956;;;;;;;
335;;;;;;;;;-35,716;;;;;;;;;;;;;;;;;;;;;;;;
336;;;;;;;;;;;;;-20,527;;;;;;;;;;;;;;;;;;;;
337;;;;;;;-11,184;;;;;;;;;;;;;;;;;;;;;;;;;;
338;;;;;;;;;;;;;;;;8,099;;;;;;;;;;;;;;;;;
339;;;;;;;;;;;;;;-20,844;;;;;;;;;;;;;;;;;;;
340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,547;
341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124,095;;
342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-341;;;
343;;;;;;;;;;;;;;;;;;;;;;;473;;;;;;;;;;
344;;;-814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;;;;;;;;;;;;;;;;;;;;;;;;;;;123,754;;;;;;
346;;;;;;;;;;;;;;;;;;;;-31,983;;;;;;;;;;;;;
347;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
348;;;;;;;;;;;;;;;;;;-19,634;;;;;;;;;;;;;;;
349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
350;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
351;;;;;;;;;;;;72,137;;;;;;;;;;;;;;;;;;;;;
352;;;;;;;;;;;;;;;;;;;;;;;;;474,275;;;;;;;;
353;;;;;;;;-364,573;;;;;;;;;;;;;;;;;;;;;;;;;
354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109,702;;;;
355;;;;;;;;;;;;;;;-11,662;;;;;;;;;;;;;;;;;;
356;;;;;;;;;;;;;;;;;;;;;;;;;;42,306;;;;;;;
357;;;;;;;;;-38,795;;;;;;;;;;;;;;;;;;;;;;;;
358;;;;;;;;;;;;;-23,546;;;;;;;;;;;;;;;;;;;;
359;;;;;;;-12,15;;;;;;;;;;;;;;;;;;;;;;;;;;
360;;;;;;;;;;;;;;;;26,931;;;;;;;;;;;;;;;;;
361;;;;;;;;;;;;;;-8,974;;;;;;;;;;;;;;;;;;;
362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,566;
363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,04;;
364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-135;;;
365;;;;;;;;;;;;;;;;;;;;;;;-1,081;;;;;;;;;;
366;;;2,717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;;;;;;;;;;;;;;;;;;;;;;;;;;;97,905;;;;;;
368;;;;;;;;;;;;;;;;;;;;1,577;;;;;;;;;;;;;
369;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
370;;;;;;;;;;;;;;;;;;-23,315;;;;;;;;;;;;;;;
371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
372;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
373;;;;;;;;;;;;76,167;;;;;;;;;;;;;;;;;;;;;
374;;;;;;;;;;;;;;;;;;;;;;;;;348,451;;;;;;;;
375;;;;;;;;-222,031;;;;;;;;;;;;;;;;;;;;;;;;;
376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126,42;;;;
377;;;;;;;;;;;;;;;-20,278;;;;;;;;;;;;;;;;;;
378;;;;;;;;;;;;;;;;;;;;;;;;;;37,177;;;;;;;
379;;;;;;;;;-34,63;;;;;;;;;;;;;;;;;;;;;;;;
380;;;;;;;;;;;;;-18,648;;;;;;;;;;;;;;;;;;;;
381;;;;;;;-10,431;;;;;;;;;;;;;;;;;;;;;;;;;;
382;;;;;;;;;;;;;;;;7,033;;;;;;;;;;;;;;;;;
383;;;;;;;;;;;;;;-2,996;;;;;;;;;;;;;;;;;;;
384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,217;
385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106,142;;
386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,115;;;
387;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;
388;;;-1,292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;;;;;;;;;;;;;;;;;;;;;;;;;;;105,027;;;;;;
390;;;;;;;;;;;;;;;;;;;;-18,154;;;;;;;;;;;;;
391;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
392;;;;;;;;;;;;;;;;;;-19,544;;;;;;;;;;;;;;;
393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
394;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
395;;;;;;;;;;;;67,329;;;;;;;;;;;;;;;;;;;;;
396;;;;;;;;;;;;;;;;;;;;;;;;;464,308;;;;;;;;
397;;;;;;;;-425,381;;;;;;;;;;;;;;;;;;;;;;;;;
398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,927;;;;
399;;;;;;;;;;;;;;;43,503;;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;;;;;;;;;;44,49;;;;;;;
401;;;;;;;;;-34,603;;;;;;;;;;;;;;;;;;;;;;;;
402;;;;;;;;;;;;;-18,475;;;;;;;;;;;;;;;;;;;;
403;;;;;;;-8,398;;;;;;;;;;;;;;;;;;;;;;;;;;
404;;;;;;;;;;;;;;;;64,84;;;;;;;;;;;;;;;;;
405;;;;;;;;;;;;;;-6,5;;;;;;;;;;;;;;;;;;;
406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,149;
407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82,43;;
408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-608;;;
409;;;;;;;;;;;;;;;;;;;;;;;258;;;;;;;;;;
410;;;-866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;;;;;;;;;;;;;;;;;;;;;;;;;;;81,822;;;;;;
412;;;;;;;;;;;;;;;;;;;;3,53;;;;;;;;;;;;;
413;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
414;;;;;;;;;;;;;;;;;;-20,642;;;;;;;;;;;;;;;
415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
416;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
417;;;;;;;;;;;;64,71;;;;;;;;;;;;;;;;;;;;;
418;;;;;;;;;;;;;;;;;;;;;;;;;256,45;;;;;;;;
419;;;;;;;;-120,131;;;;;;;;;;;;;;;;;;;;;;;;;
420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136,319;;;;
421;;;;;;;;;;;;;;;-31,323;;;;;;;;;;;;;;;;;;
422;;;;;;;;;;;;;;;;;;;;;;;;;;32,954;;;;;;;
423;;;;;;;;;-32,633;;;;;;;;;;;;;;;;;;;;;;;;
424;;;;;;;;;;;;;-17,513;;;;;;;;;;;;;;;;;;;;
425;;;;;;;-9,957;;;;;;;;;;;;;;;;;;;;;;;;;;
426;;;;;;;;;;;;;;;;2,119;;;;;;;;;;;;;;;;;
427;;;;;;;;;;;;;;-8,245;;;;;;;;;;;;;;;;;;;
428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,952;
429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,996;;
430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;
431;;;;;;;;;;;;;;;;;;;;;;;646;;;;;;;;;;
432;;;-559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;;;;;;;;;;;;;;;;;;;;;;;;;;;105,083;;;;;;
434;;;;;;;;;;;;;;;;;;;;-26,425;;;;;;;;;;;;;
435;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
436;;;;;;;;;;;;;;;;;;-18,601;;;;;;;;;;;;;;;
437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
438;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
439;;;;;;;;;;;;60,057;;;;;;;;;;;;;;;;;;;;;
440;;;;;;;;;;;;;;;;;;;;;;;;;320,237;;;;;;;;
441;;;;;;;;-207,395;;;;;;;;;;;;;;;;;;;;;;;;;
442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112,842;;;;
443;;;;;;;;;;;;;;;-19,647;;;;;;;;;;;;;;;;;;
444;;;;;;;;;;;;;;;;;;;;;;;;;;40,803;;;;;;;
445;;;;;;;;;-36,218;;;;;;;;;;;;;;;;;;;;;;;;
446;;;;;;;;;;;;;-18,476;;;;;;;;;;;;;;;;;;;;
447;;;;;;;-9,988;;;;;;;;;;;;;;;;;;;;;;;;;;
448;;;;;;;;;;;;;;;;-1,923;;;;;;;;;;;;;;;;;
449;;;;;;;;;;;;;;4,466;;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,689;
451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,195;;
452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-433;;;
453;;;;;;;;;;;;;;;;;;;;;;;-227;;;;;;;;;;
454;;;6,405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455;;;;;;;;;;;;;;;;;;;;;;;;;;;92,762;;;;;;
456;;;;;;;;;;;;;;;;;;;;-17,899;;;;;;;;;;;;;
457;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
458;;;;;;;;;;;;;;;;;;-15,282;;;;;;;;;;;;;;;
459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
460;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
461;;;;;;;;;;;;59,581;;;;;;;;;;;;;;;;;;;;;
462;;;;;;;;;;;;;;;;;;;;;;;;;353,115;;;;;;;;
463;;;;;;;;-244,536;;;;;;;;;;;;;;;;;;;;;;;;;
464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,579;;;;
465;;;;;;;;;;;;;;;-19,216;;;;;;;;;;;;;;;;;;
466;;;;;;;;;;;;;;;;;;;;;;;;;;35,159;;;;;;;
467;;;;;;;;;-30,935;;;;;;;;;;;;;;;;;;;;;;;;
468;;;;;;;;;;;;;-17,762;;;;;;;;;;;;;;;;;;;;
469;;;;;;;-9,865;;;;;;;;;;;;;;;;;;;;;;;;;;
470;;;;;;;;;;;;;;;;4,826;;;;;;;;;;;;;;;;;
471;;;;;;;;;;;;;;-2,824;;;;;;;;;;;;;;;;;;;
472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,185;
473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,363;;
474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,438;;;
475;;;;;;;;;;;;;;;;;;;;;;;190;;;;;;;;;;
476;;;-1,628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
477;;;;;;;;;;;;;;;;;;;;;;;;;;;87,925;;;;;;
478;;;;;;;;;;;;;;;;;;;;-18,774;;;;;;;;;;;;;
479;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
480;;;;;;;;;;;;;;;;;;-14,037;;;;;;;;;;;;;;;
481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
482;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
483;;;;;;;;;;;;55,114;;;;;;;;;;;;;;;;;;;;;
484;;;;;;;;;;;;;;;;;;;;;;;;;335,748;;;;;;;;
485;;;;;;;;-285,891;;;;;;;;;;;;;;;;;;;;;;;;;
486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,857;;;;
487;;;;;;;;;;;;;;;16,913;;;;;;;;;;;;;;;;;;
488;;;;;;;;;;;;;;;;;;;;;;;;;;32,108;;;;;;;
489;;;;;;;;;-32,179;;;;;;;;;;;;;;;;;;;;;;;;
490;;;;;;;;;;;;;-19,665;;;;;;;;;;;;;;;;;;;;
491;;;;;;;-8,226;;;;;;;;;;;;;;;;;;;;;;;;;;
492;;;;;;;;;;;;;;;;44,122;;;;;;;;;;;;;;;;;
493;;;;;;;;;;;;;;-1,488;;;;;;;;;;;;;;;;;;;
494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,241;
495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66,77;;
496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,818;;;
497;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
498;;;-3,818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;;;;;;;;;;;;;;;;;;;;;;;;;;;62,952;;;;;;
500;;;;;;;;;;;;;;;;;;;;5,211;;;;;;;;;;;;;
501;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
502;;;;;;;;;;;;;;;;;;-13,115;;;;;;;;;;;;;;;
503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
504;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
505;;;;;;;;;;;;55,048;;;;;;;;;;;;;;;;;;;;;
506;;;;;;;;;;;;;;;;;;;;;;;;;316,009;;;;;;;;
507;;;;;;;;-195,828;;;;;;;;;;;;;;;;;;;;;;;;;
508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120,181;;;;
509;;;;;;;;;;;;;;;-27,407;;;;;;;;;;;;;;;;;;
510;;;;;;;;;;;;;;;;;;;;;;;;;;29,333;;;;;;;
511;;;;;;;;;-31,017;;;;;;;;;;;;;;;;;;;;;;;;
512;;;;;;;;;;;;;-15,652;;;;;;;;;;;;;;;;;;;;
513;;;;;;;-9,983;;;;;;;;;;;;;;;;;;;;;;;;;;
514;;;;;;;;;;;;;;;;4,119;;;;;;;;;;;;;;;;;
515;;;;;;;;;;;;;;-6,604;;;;;;;;;;;;;;;;;;;
516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,397;
517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,774;;
518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-922;;;
519;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;
520;;;-959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;;;;;;;;;;;;;;;;;;;;;;;;;;;91,852;;;;;;
522;;;;;;;;;;;;;;;;;;;;-24,951;;;;;;;;;;;;;
523;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
524;;;;;;;;;;;;;;;;;;-10,025;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
526;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
527;;;;;;;;;;;;56,876;;;;;;;;;;;;;;;;;;;;;
528;;;;;;;;;;;;;;;;;;;;;;;;;277,574;;;;;;;;
529;;;;;;;;-154,627;;;;;;;;;;;;;;;;;;;;;;;;;
530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122,947;;;;
531;;;;;;;;;;;;;;;-16,414;;;;;;;;;;;;;;;;;;
532;;;;;;;;;;;;;;;;;;;;;;;;;;34,826;;;;;;;
533;;;;;;;;;-32,219;;;;;;;;;;;;;;;;;;;;;;;;
534;;;;;;;;;;;;;-16,005;;;;;;;;;;;;;;;;;;;;
535;;;;;;;-10,759;;;;;;;;;;;;;;;;;;;;;;;;;;
536;;;;;;;;;;;;;;;;-3,476;;;;;;;;;;;;;;;;;
537;;;;;;;;;;;;;;8,645;;;;;;;;;;;;;;;;;;;
538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,574;
539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106,533;;
540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,158;;;
541;;;;;;;;;;;;;;;;;;;;;;;-2,875;;;;;;;;;;
542;;;4,697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
543;;;;;;;;;;;;;;;;;;;;;;;;;;;102,375;;;;;;
544;;;;;;;;;;;;;;;;;;;;-23,725;;;;;;;;;;;;;
545;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
546;;;;;;;;;;;;;;;;;;-18,046;;;;;;;;;;;;;;;
547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
548;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
549;;;;;;;;;;;;60,604;;;;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;;;;;;;;415,557;;;;;;;;
551;;;;;;;;-331,696;;;;;;;;;;;;;;;;;;;;;;;;;
552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83,861;;;;
553;;;;;;;;;;;;;;;1,58;;;;;;;;;;;;;;;;;;
554;;;;;;;;;;;;;;;;;;;;;;;;;;30,039;;;;;;;
555;;;;;;;;;-28,118;;;;;;;;;;;;;;;;;;;;;;;;
556;;;;;;;;;;;;;-16,634;;;;;;;;;;;;;;;;;;;;
557;;;;;;;-8,746;;;;;;;;;;;;;;;;;;;;;;;;;;
558;;;;;;;;;;;;;;;;26,243;;;;;;;;;;;;;;;;;
559;;;;;;;;;;;;;;-4,047;;;;;;;;;;;;;;;;;;;
560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,843;
561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,441;;
562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,558;;;
563;;;;;;;;;;;;;;;;;;;;;;;2,875;;;;;;;;;;
564;;;-317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;;;;;;;;;;;;;;;;;;;;;;;;;;;87,999;;;;;;
566;;;;;;;;;;;;;;;;;;;;-12,49;;;;;;;;;;;;;
567;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
568;;;;;;;;;;;;;;;;;;-16,981;;;;;;;;;;;;;;;
569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
570;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
571;;;;;;;;;;;;58,528;;;;;;;;;;;;;;;;;;;;;
572;;;;;;;;;;;;;;;;;;;;;;;;;269,744;;;;;;;;
573;;;;;;;;-135,801;;;;;;;;;;;;;;;;;;;;;;;;;
574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133,943;;;;
575;;;;;;;;;;;;;;;-25,576;;;;;;;;;;;;;;;;;;
576;;;;;;;;;;;;;;;;;;;;;;;;;;30,857;;;;;;;
577;;;;;;;;;-27,301;;;;;;;;;;;;;;;;;;;;;;;;
578;;;;;;;;;;;;;-16,91;;;;;;;;;;;;;;;;;;;;
579;;;;;;;-10,373;;;;;;;;;;;;;;;;;;;;;;;;;;
580;;;;;;;;;;;;;;;;2,347;;;;;;;;;;;;;;;;;
581;;;;;;;;;;;;;;-6,815;;;;;;;;;;;;;;;;;;;
582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,619;
583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,367;;
584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,996;;;
585;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
586;;;-3,996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
587;;;;;;;;;;;;;;;;;;;;;;;;;;;104,371;;;;;;
588;;;;;;;;;;;;;;;;;;;;-27,391;;;;;;;;;;;;;
589;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
590;;;;;;;;;;;;;;;;;;-16,755;;;;;;;;;;;;;;;
591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
592;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
593;;;;;;;;;;;;60,225;;;;;;;;;;;;;;;;;;;;;
594;;;;;;;;;;;;;;;;;;;;;;;;;250,661;;;;;;;;
595;;;;;;;;-127,434;;;;;;;;;;;;;;;;;;;;;;;;;
596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123,227;;;;
597;;;;;;;;;;;;;;;-24,14;;;;;;;;;;;;;;;;;;
598;;;;;;;;;;;;;;;;;;;;;;;;;;29,643;;;;;;;
599;;;;;;;;;-26,054;;;;;;;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;-15,316;;;;;;;;;;;;;;;;;;;;
601;;;;;;;-9,889;;;;;;;;;;;;;;;;;;;;;;;;;;
602;;;;;;;;;;;;;;;;1,915;;;;;;;;;;;;;;;;;
603;;;;;;;;;;;;;;-6,796;;;;;;;;;;;;;;;;;;;
604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,357;
605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,087;;
606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-384;;;
607;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
608;;;-384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
609;;;;;;;;;;;;;;;;;;;;;;;;;;;98,703;;;;;;
610;;;;;;;;;;;;;;;;;;;;-24,407;;;;;;;;;;;;;
611;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
612;;;;;;;;;;;;;;;;;;-17,616;;;;;;;;;;;;;;;
613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
614;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
615;;;;;;;;;;;;56,68;;;;;;;;;;;;;;;;;;;;;
616;;;;;;;;;;;;;;;;;;;;;;;;;331,045;;;;;;;;
617;;;;;;;;-232,831;;;;;;;;;;;;;;;;;;;;;;;;;
618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,214;;;;
619;;;;;;;;;;;;;;;-68,226;;;;;;;;;;;;;;;;;;
620;;;;;;;;;;;;;;;;;;;;;;;;;;34,658;;;;;;;
621;;;;;;;;;-92,588;;;;;;;;;;;;;;;;;;;;;;;;
622;;;;;;;;;;;;;-8,389;;;;;;;;;;;;;;;;;;;;
623;;;;;;;25,225;;;;;;;;;;;;;;;;;;;;;;;;;;
624;;;;;;;;;;;;;;;;22,025;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;-49,157;;;;;;;;;;;;;;;;;;;
626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,988;;
628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-77,159;;;
629;;;;;;;;;;;;;;;;;;;;;;;-265;;;;;;;;;;
630;;;2,173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631;;;;;;;;;;;;;;;;;;;;;;;;;;;-47,171;;;;;;
632;;;;;;;;;;;;;;;;;;;;55,842;;;;;;;;;;;;;
633;;;;;;;;;;;202,757;;;;;;;;;;;;;;;;;;;;;;
634;;;;;;;;;;;;;;;;;;-19,234;;;;;;;;;;;;;;;
635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
636;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
637;;;;;;;;;;;;54,005;;;;;;;;;;;;;;;;;;;;;
638;;;;;;;;;;;;;;;;;;;;;;;;;226,819;;;;;;;;
639;;;;;;;;-112,835;;;;;;;;;;;;;;;;;;;;;;;;;
640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113,984;;;;
641;;;;;;;;;;;;;;;-26,674;;;;;;;;;;;;;;;;;;
642;;;;;;;;;;;;;;;;;;;;;;;;;;22,842;;;;;;;
643;;;;;;;;;-23,095;;;;;;;;;;;;;;;;;;;;;;;;
644;;;;;;;;;;;;;-13,744;;;;;;;;;;;;;;;;;;;;
645;;;;;;;-8,666;;;;;;;;;;;;;;;;;;;;;;;;;;
646;;;;;;;;;;;;;;;;4,045;;;;;;;;;;;;;;;;;
647;;;;;;;;;;;;;;-8,056;;;;;;;;;;;;;;;;;;;
648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,31;;
650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265;;;
651;;;;;;;;;;;;;;;;;;;;;;;265;;;;;;;;;;
652;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
653;;;;;;;;;;;;;;;;;;;;;;;;;;;87,575;;;;;;
654;;;;;;;;;;;;;;;;;;;;-21,486;;;;;;;;;;;;;
655;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
656;;;;;;;;;;;;;;;;;;-14,974;;;;;;;;;;;;;;;
657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
658;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
659;;;;;;;;;;;;51,115;;;;;;;;;;;;;;;;;;;;;
660;;;;;;;;;;;;;;;;;;;;;;;;;254,131;;;;;;;;
661;;;;;;;;-152,101;;;;;;;;;;;;;;;;;;;;;;;;;
662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,03;;;;
663;;;;;;;;;;;;;;;-16,196;;;;;;;;;;;;;;;;;;
664;;;;;;;;;;;;;;;;;;;;;;;;;;26,217;;;;;;;
665;;;;;;;;;-22,37;;;;;;;;;;;;;;;;;;;;;;;;
